user_id,text_id,session_order,score,weak_topics,timestamp
4,10,0,0.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Concepto de Píxel|Definición de Resolución de Imagen|Representación Matricial de Imágenes|Naturaleza de la Función de Imagen|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Impacto de la Resolución|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Metodología Académica|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-30T17:54:01.216354
5,10,0,0.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Concepto de Píxel|Definición de Resolución de Imagen|Representación Matricial de Imágenes|Naturaleza de la Función de Imagen|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Impacto de la Resolución|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Metodología Académica|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-30T18:11:47.012724
6,10,0,30.0,"Definición Formal de Imagen Digital|Concepto de Píxel|Definición de Resolución de Imagen|Representación Matricial de Imágenes|Espacios de Color|Impacto de la Resolución|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-30T18:37:30.910525
7,10,0,40.0,"Definición Formal de Imagen Digital|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Impacto de la Resolución|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución",2025-12-30T19:34:14.866488
8,10,0,55.00000000000001,"Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Espacios de Color|Impacto de la Resolución|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-30T20:24:45.227757
9,10,0,15.0,"Definición Formal de Imagen Digital|Definición de Resolución de Imagen|Naturaleza de la Función de Imagen|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Impacto de la Resolución|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Metodología Académica|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-31T11:18:00.376114
9,10,0,65.0,Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Concepto de Píxel|Representación Matricial de Imágenes|Naturaleza de la Función de Imagen|Interpretación de Datos de Imagen|Descomposición de Canales de Color,2025-12-31T11:46:52.729966
10,10,0,70.0,"Espacios de Color|Interpretación de Datos de Imagen|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color",2025-12-31T12:06:31.815191
10,10,0,85.0,Estructura de Datos de Imagen en Color|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color,2025-12-31T12:11:35.409415
10,10,1,80.0,"Interpretación de Datos de Imagen|Descomposición de Canales de Color|Metodología Académica|Generalización del Modelo f(x,y)",2025-12-31T12:17:47.401184
